HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",88712,83000,156865633,1768,156287678,1762
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",7447,7430,15624365,2098,15687837,2107
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",18778,18645,46459230,2474,46069431,2453
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",4525,4514,13004679,2874,12609210,2787
1AFP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",11772,11699,38128304,3239,36764918,3123
1AGK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",181469,171469,332998365,1835,387391273,2135
1AGL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",24717,24631,57084684,2310,60608441,2452
1AGM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",70697,69949,189190246,2676,194642593,2753
1AGN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",18250,18193,56751668,3110,55622191,3048
1AGP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",45089,44590,160370081,3557,150698086,3342
1AHK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",82182,78679,159723478,1944,189386148,2304
1AHL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",13794,13750,32815242,2379,36471530,2644
1AHM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",41254,40842,115564310,2801,122556804,2971
1AHN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",11385,11347,37158559,3264,37352078,3281
1AHP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",30854,30531,114064243,3697,110797910,3591
1BFK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",99142,93524,183769924,1854,185129451,1867
1BFL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",10115,10084,20749322,2051,22565133,2231
1BFM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",26020,25801,63501005,2440,67583236,2597
1BFN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",6615,6586,19231254,2907,19522416,2951
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",16687,16485,54590274,3271,55539450,3328
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",350275,323290,648662279,1852,784330437,2239
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",55036,54738,119956922,2180,141477026,2571
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",161436,158438,421468034,2611,471932725,2923
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",42770,42416,132688079,3102,138541483,3239
1BGP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",105756,103100,366383640,3464,378187402,3576
1BHK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",204935,192817,426487216,2081,487184838,2377
1BHL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",40703,40529,90885307,2233,111520170,2740
1BHM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",123359,121596,333195287,2701,382996116,3105
1BHN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",35315,35118,111966017,3170,121223840,3433
1BHP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",94521,92871,339024266,3587,355859489,3765
1CFK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",86073,79837,217410382,2526,188558794,2191
1CFL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",4760,4755,12829294,2695,11986115,2518
1CFM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",13871,13810,42659149,3075,40527328,2922
1CFN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",4318,4310,15138397,3506,14418559,3339
1CFP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",14560,14511,56789938,3900,54627288,3752
1CGK,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",270007,245410,646251813,2393,676926079,2507
1CGL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",23940,23837,65809236,2749,68489548,2861
1CGM,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 3",74978,73548,234556002,3128,247698357,3304
1CGN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",20346,20147,72487629,3563,74759242,3674
1CGP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",55897,54380,218326533,3906,229326848,4103
1CHK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",208657,187117,517854242,2482,554126686,2656
1CHL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",23854,23697,68384370,2867,72560894,3042
1CHM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",74662,73297,245612718,3290,259814924,3480
1CHN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",21447,21299,81050283,3779,83359826,3887
1CHP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",63190,61710,262812830,4159,270828879,4286
2AFK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",33150,32717,122895604,3707,115998473,3499
2AFL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",29544,28692,116681608,3949,118738676,4019
2AFM,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",16628,16380,73091772,4396,76013576,4571
2AGK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",21389,21232,82348794,3850,76510719,3577
2AGL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",19724,19433,82071711,4161,80925862,4103
2AGM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 2,Service Severity Level 3",13251,13097,59736260,4508,61746540,4660
2AHK,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 1",3633,3612,14423630,3970,14018674,3859
2AHL,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 2",3677,3658,15614931,4247,15989016,4348
2AHM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 3",2648,2637,12545940,4738,12976179,4900
2BFK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",34490,33999,140133854,4063,126959961,3681
2BFL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",30812,29817,130129239,4223,129935079,4217
2BFM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",17474,17193,81144799,4644,83560079,4782
2BGK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",38613,38080,160314444,4152,145047798,3756
2BGL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",35518,34714,156345770,4402,152447325,4292
2BGM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",24412,23821,114560896,4693,119219193,4884
2BHK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",8278,8207,35224994,4255,33550002,4053
2BHL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",8326,8202,37904336,4553,38254758,4595
2BHM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",5777,5723,29010020,5022,29828570,5163
2CFK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",32614,32108,145292827,4455,139220126,4269
2CFL,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 2",27978,27254,131850181,4713,135891353,4857
2CFM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",16993,16804,86942875,5116,93074782,5477
2CGK,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",42956,42391,197446955,4596,186746934,4347
2CGL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",39169,38285,188706171,4818,193343692,4936
2CGM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",28219,27542,144738848,5129,157776763,5591
2CHK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",13822,13555,67131808,4857,64587438,4673
2CHL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",13273,12973,67671860,5098,70042369,5277
2CHM,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 3",10146,9991,56638287,5582,60291710,5942
3AFK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",67655,45291,135010905,1996,111215589,1644
3AFL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",1731,1709,4148311,2396,3255386,1881
3AFM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",5482,5271,15259006,2783,12756837,2327
3AFN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",1503,1488,4873689,3243,4122677,2743
3AFP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",4839,4677,17200733,3555,15014461,3103
3AGK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",156921,106612,351474106,2240,303789172,1936
3AGL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",4852,4792,13246434,2730,10451547,2154
3AGM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",16220,15365,50190143,3094,41133027,2536
3AGN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",4381,4312,15326309,3498,12623306,2881
3AGP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",12721,12172,50180748,3945,41741477,3281
3AHK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",72573,51257,178152923,2455,154717910,2132
3AHL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",3083,3043,8736614,2834,7150897,2319
3AHM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",10383,9859,33215144,3199,28521026,2747
3AHN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",2910,2874,10827678,3721,9240113,3175
3AHP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",8735,8401,35811900,4100,31075635,3558
3BFK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",67537,43991,122191168,1809,105835977,1567
3BFL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",1669,1647,4095520,2454,3273955,1962
3BFM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",5366,5121,14798411,2758,13232962,2466
3BFN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",1667,1603,5234264,3140,4908648,2945
3BFP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",4948,4612,17432450,3523,16910693,3418
3BGK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",317481,174394,651809782,2053,587877304,1852
3BGL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",9142,8915,25007516,2735,19962370,2184
3BGM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",32447,29876,101193056,3119,87298806,2691
3BGN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",9818,9431,34153825,3479,30252858,3081
3BGP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",29116,26038,114598062,3936,103732634,3563
3BHK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",178454,105854,386579697,2166,351974242,1972
3BHL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",6911,6796,19463242,2816,16258064,2352
3BHM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",24838,22836,79568661,3204,70650577,2844
3BHN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",7109,6911,26129515,3676,23478006,3303
3BHP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",23205,21250,94561877,4075,87982088,3792
3CFK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",76812,52166,216669886,2821,168112605,2189
3CFL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",1800,1793,5872950,3263,4504343,2502
3CFM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",5747,5584,20417871,3553,17646384,3071
3CFN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",1729,1716,6743232,3900,6123020,3541
3CFP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",5529,5407,23365599,4226,22008005,3980
3CGK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",222701,133090,612439930,2750,524642563,2356
3CGL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",6408,6293,21209299,3310,17344223,2707
3CGM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",21324,19799,78141489,3664,68054445,3191
3CGN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",5898,5753,24209572,4105,21497000,3645
3CGP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",17950,16670,79335403,4420,73285505,4083
3CHK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",279605,138335,861479003,3081,710833952,2542
3CHL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",9097,8862,32069902,3525,26638353,2928
3CHM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",29629,26580,115798281,3908,101564276,3428
3CHN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",8307,8065,35801304,4310,32336092,3893
3CHP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",25583,23158,120740019,4720,112323681,4391
4AFK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",18715,16936,76914079,4110,64540430,3449
4AFL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",18716,16199,82954426,4432,73573283,3931
4AFM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",7724,7228,36906997,4778,34580655,4477
4AGK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",13437,12411,56400525,4197,45996801,3423
4AGL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,",13663,12297,61120163,4473,53706848,3931
4AGM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",6724,6283,32182343,4786,30488708,4534
4AHK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",2810,2672,12538511,4462,10834901,3856
4AHL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",2954,2742,13874787,4697,12764048,4321
4AHM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",1442,1400,7378173,5117,7027098,4873
4BFK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",10160,9346,45247514,4453,40306354,3967
4BFL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",10133,8961,49905376,4925,45526838,4493
4BFM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",4278,4022,22970094,5369,21501694,5026
4BGK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",11971,11254,53359294,4457,46291180,3867
4BGL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",12213,11074,59120269,4841,53876094,4411
4BGM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",5991,5681,31619556,5278,30259529,5051
4BHK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",3725,3487,17203592,4618,15881621,4264
4BHL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",3836,3470,18903586,4928,18114765,4722
4BHM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",2007,1913,11047994,5505,10663783,5313
4CFK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",6734,6297,34547337,5130,30578295,4541
4CFL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",6520,5888,36481846,5595,33354665,5116
4CFM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",2831,2713,16931127,5981,16169221,5711
4CGK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",11320,10741,57960565,5120,51066746,4511
4CGL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",11162,10240,62025360,5557,57190398,5124
4CGM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",5524,5259,32950440,5965,31936759,5781
4CHK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",7830,7062,42769386,5462,38454853,4911
4CHL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",7604,6490,44912019,5906,41278321,5429
4CHM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",3997,3747,25332409,6338,24341217,6090
5AFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 1,Service Severity Level 1",38757,34432,228375284,5892,195583019,5046
5AGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 2,Service Severity Level 1",52096,49760,310117118,5953,270625924,5195
5AHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 3,Service Severity Level 1",69444,66274,436338835,6283,375745067,5411
5BFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 1,Service Severity Level 1",29365,26201,185910240,6331,159886805,5445
5BGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 2,Service Severity Level 1",41430,39381,259690115,6268,229133454,5531
5BHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 3,Service Severity Level 1",96769,90381,637642103,6589,557994376,5766
5CFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 1",13339,12251,96013623,7198,83346466,6248
5CGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",19799,18944,141416473,7143,125202668,6324
5CHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 1",65919,59411,504041939,7646,434429103,6590
